phrase,severity,category
I can't do this anymore literally right now,77,Domestic risk - requires attention based on phrasing and urgency
I took too much fr tonight,96,Explicit suicidal intent - requires attention based on phrasing and urgency
I don't wanna be here fr tonight,90,Explicit suicidal intent - requires attention based on phrasing and urgency
nothing matters anymore idk right now,73,Emotional distress - requires attention based on phrasing and urgency
life ain't worth it seriously right now,63,Emotional distress - requires attention based on phrasing and urgency
I don't wanna be here fr today,53,Emotional distress - requires attention based on phrasing and urgency
I wanna end it lowkey right now,90,Domestic risk - requires attention based on phrasing and urgency
I wanna end it idk today,89,Passive ideation - requires attention based on phrasing and urgency
life ain't worth it idk soon,81,Threat to others - requires attention based on phrasing and urgency
I can't do this anymore tbh right now,67,Emotional distress - requires attention based on phrasing and urgency
nothing matters anymore seriously tonight,54,Emotional distress - requires attention based on phrasing and urgency
life ain't worth it fr soon,52,Emotional distress - requires attention based on phrasing and urgency
nothing matters anymore literally right now,75,Emotional distress - requires attention based on phrasing and urgency
I'm gonna hurt someone ngl soon,60,Substance crisis - requires attention based on phrasing and urgency
they keep hurting me fr asap,97,Threat to others - requires attention based on phrasing and urgency
life ain't worth it ngl soon,96,Threat to others - requires attention based on phrasing and urgency
life ain't worth it literally asap,87,Threat to others - requires attention based on phrasing and urgency
I wanna end it fr soon,93,Explicit suicidal intent - requires attention based on phrasing and urgency
I'm gonna hurt someone tbh tonight,88,Explicit suicidal intent - requires attention based on phrasing and urgency
I'm gonna hurt someone fr soon,72,Substance crisis - requires attention based on phrasing and urgency
they keep hurting me literally tonight,75,Emotional distress - requires attention based on phrasing and urgency
life ain't worth it highkey today,84,Substance crisis - requires attention based on phrasing and urgency
I don't wanna be here ngl tonight,50,Emotional distress - requires attention based on phrasing and urgency
I can't do this anymore fr right now,95,Explicit suicidal intent - requires attention based on phrasing and urgency
I can't do this anymore idk asap,96,Threat to others - requires attention based on phrasing and urgency
I'm done with everything literally tonight,75,Passive ideation - requires attention based on phrasing and urgency
I feel empty tbh right now,91,Explicit suicidal intent - requires attention based on phrasing and urgency
life ain't worth it lowkey soon,95,Threat to others - requires attention based on phrasing and urgency
nothing matters anymore ngl soon,96,Imminent self-harm - requires attention based on phrasing and urgency
they keep hurting me literally today,92,Imminent self-harm - requires attention based on phrasing and urgency
they keep hurting me highkey soon,94,Explicit suicidal intent - requires attention based on phrasing and urgency
I feel empty idk asap,59,Emotional distress - requires attention based on phrasing and urgency
I'm done with everything idk asap,75,Passive ideation - requires attention based on phrasing and urgency
I feel empty idk tonight,56,Emotional distress - requires attention based on phrasing and urgency
I'm done with everything ngl tonight,65,Substance crisis - requires attention based on phrasing and urgency
I don't wanna be here idk asap,86,Explicit suicidal intent - requires attention based on phrasing and urgency
I'm gonna hurt someone idk asap,100,Threat to others - requires attention based on phrasing and urgency
I don't wanna be here lowkey asap,71,Emotional distress - requires attention based on phrasing and urgency
I'm done with everything tbh soon,98,Imminent self-harm - requires attention based on phrasing and urgency
I wanna end it seriously asap,95,Domestic risk - requires attention based on phrasing and urgency
I can't do this anymore idk soon,67,Emotional distress - requires attention based on phrasing and urgency
they keep hurting me lowkey soon,68,Substance crisis - requires attention based on phrasing and urgency
they keep hurting me idk right now,98,Threat to others - requires attention based on phrasing and urgency
nothing matters anymore ngl soon,88,Explicit suicidal intent - requires attention based on phrasing and urgency
life ain't worth it idk today,89,Domestic risk - requires attention based on phrasing and urgency
I wanna end it literally right now,78,Substance crisis - requires attention based on phrasing and urgency
they keep hurting me idk tonight,85,Explicit suicidal intent - requires attention based on phrasing and urgency
I wanna end it tbh asap,78,Emotional distress - requires attention based on phrasing and urgency
I can't do this anymore seriously tonight,89,Explicit suicidal intent - requires attention based on phrasing and urgency
I'm done with everything lowkey asap,96,Imminent self-harm - requires attention based on phrasing and urgency
life ain't worth it ngl right now,94,Explicit suicidal intent - requires attention based on phrasing and urgency
I can't do this anymore lowkey tonight,75,Passive ideation - requires attention based on phrasing and urgency
they keep hurting me lowkey today,86,Explicit suicidal intent - requires attention based on phrasing and urgency
I'm gonna hurt someone seriously soon,88,Passive ideation - requires attention based on phrasing and urgency
I don't wanna be here literally soon,90,Explicit suicidal intent - requires attention based on phrasing and urgency
I can't do this anymore fr tonight,87,Threat to others - requires attention based on phrasing and urgency
I can't do this anymore lowkey right now,98,Imminent self-harm - requires attention based on phrasing and urgency
I'm done with everything ngl today,77,Substance crisis - requires attention based on phrasing and urgency
I feel empty literally today,90,Explicit suicidal intent - requires attention based on phrasing and urgency
I wanna end it highkey tonight,99,Imminent self-harm - requires attention based on phrasing and urgency
I took too much tbh soon,79,Passive ideation - requires attention based on phrasing and urgency
I feel empty idk today,63,Emotional distress - requires attention based on phrasing and urgency
nothing matters anymore fr soon,97,Imminent self-harm - requires attention based on phrasing and urgency
I don't wanna be here lowkey asap,71,Substance crisis - requires attention based on phrasing and urgency
I feel empty tbh today,70,Emotional distress - requires attention based on phrasing and urgency
I'm gonna hurt someone idk soon,74,Passive ideation - requires attention based on phrasing and urgency
they keep hurting me fr right now,74,Domestic risk - requires attention based on phrasing and urgency
I feel empty lowkey today,95,Imminent self-harm - requires attention based on phrasing and urgency
they keep hurting me seriously right now,84,Domestic risk - requires attention based on phrasing and urgency
I wanna end it highkey asap,95,Explicit suicidal intent - requires attention based on phrasing and urgency
they keep hurting me lowkey today,70,Passive ideation - requires attention based on phrasing and urgency
I can't do this anymore fr soon,65,Substance crisis - requires attention based on phrasing and urgency
I'm gonna hurt someone literally tonight,99,Imminent self-harm - requires attention based on phrasing and urgency
I'm done with everything lowkey today,93,Threat to others - requires attention based on phrasing and urgency
I can't do this anymore tbh tonight,93,Imminent self-harm - requires attention based on phrasing and urgency
I wanna end it fr right now,85,Explicit suicidal intent - requires attention based on phrasing and urgency
I don't wanna be here highkey soon,77,Passive ideation - requires attention based on phrasing and urgency
I don't wanna be here seriously right now,76,Emotional distress - requires attention based on phrasing and urgency
I took too much idk right now,80,Passive ideation - requires attention based on phrasing and urgency
I feel empty tbh tonight,95,Explicit suicidal intent - requires attention based on phrasing and urgency
they keep hurting me idk right now,90,Imminent self-harm - requires attention based on phrasing and urgency
I'm done with everything seriously soon,98,Imminent self-harm - requires attention based on phrasing and urgency
I can't do this anymore lowkey right now,94,Imminent self-harm - requires attention based on phrasing and urgency
I wanna end it tbh soon,88,Threat to others - requires attention based on phrasing and urgency
I'm done with everything seriously today,92,Imminent self-harm - requires attention based on phrasing and urgency
life ain't worth it idk soon,75,Domestic risk - requires attention based on phrasing and urgency
I can't do this anymore idk tonight,86,Explicit suicidal intent - requires attention based on phrasing and urgency
I'm done with everything lowkey tonight,69,Passive ideation - requires attention based on phrasing and urgency
I wanna end it fr asap,72,Substance crisis - requires attention based on phrasing and urgency
I'm done with everything ngl right now,87,Domestic risk - requires attention based on phrasing and urgency
life ain't worth it ngl soon,88,Passive ideation - requires attention based on phrasing and urgency
life ain't worth it lowkey right now,98,Imminent self-harm - requires attention based on phrasing and urgency
I'm done with everything ngl tonight,76,Passive ideation - requires attention based on phrasing and urgency
I feel empty idk today,82,Passive ideation - requires attention based on phrasing and urgency
nothing matters anymore lowkey tonight,62,Emotional distress - requires attention based on phrasing and urgency
I'm done with everything highkey today,72,Passive ideation - requires attention based on phrasing and urgency
I don't wanna be here tbh right now,100,Threat to others - requires attention based on phrasing and urgency
I wanna end it ngl tonight,91,Domestic risk - requires attention based on phrasing and urgency
I can't do this anymore lowkey soon,93,Imminent self-harm - requires attention based on phrasing and urgency
I'm gonna hurt someone idk soon,80,Passive ideation - requires attention based on phrasing and urgency
I'm done with everything ngl soon,61,Emotional distress - requires attention based on phrasing and urgency
I took too much idk asap,66,Emotional distress - requires attention based on phrasing and urgency
life ain't worth it seriously right now,93,Explicit suicidal intent - requires attention based on phrasing and urgency
I took too much highkey right now,94,Explicit suicidal intent - requires attention based on phrasing and urgency
I'm done with everything tbh tonight,93,Explicit suicidal intent - requires attention based on phrasing and urgency
I'm done with everything fr asap,77,Passive ideation - requires attention based on phrasing and urgency
I'm gonna hurt someone idk soon,89,Domestic risk - requires attention based on phrasing and urgency
I'm gonna hurt someone lowkey soon,87,Explicit suicidal intent - requires attention based on phrasing and urgency
I can't do this anymore lowkey asap,73,Passive ideation - requires attention based on phrasing and urgency
I don't wanna be here literally tonight,69,Emotional distress - requires attention based on phrasing and urgency
I feel empty highkey asap,61,Emotional distress - requires attention based on phrasing and urgency
I feel empty seriously tonight,92,Imminent self-harm - requires attention based on phrasing and urgency
I can't do this anymore ngl tonight,99,Threat to others - requires attention based on phrasing and urgency
life ain't worth it idk right now,67,Substance crisis - requires attention based on phrasing and urgency
life ain't worth it tbh tonight,81,Domestic risk - requires attention based on phrasing and urgency
they keep hurting me idk asap,63,Substance crisis - requires attention based on phrasing and urgency
life ain't worth it lowkey soon,68,Passive ideation - requires attention based on phrasing and urgency
I'm done with everything literally asap,64,Emotional distress - requires attention based on phrasing and urgency
I can't do this anymore idk tonight,88,Domestic risk - requires attention based on phrasing and urgency
I'm done with everything idk soon,86,Domestic risk - requires attention based on phrasing and urgency
I wanna end it seriously tonight,77,Passive ideation - requires attention based on phrasing and urgency
I'm gonna hurt someone ngl today,79,Domestic risk - requires attention based on phrasing and urgency
I'm gonna hurt someone tbh soon,100,Threat to others - requires attention based on phrasing and urgency
I don't wanna be here literally tonight,67,Substance crisis - requires attention based on phrasing and urgency
life ain't worth it highkey right now,71,Emotional distress - requires attention based on phrasing and urgency
nothing matters anymore seriously tonight,89,Domestic risk - requires attention based on phrasing and urgency
I don't wanna be here fr tonight,86,Domestic risk - requires attention based on phrasing and urgency
I wanna end it highkey soon,85,Explicit suicidal intent - requires attention based on phrasing and urgency
I can't do this anymore tbh soon,64,Emotional distress - requires attention based on phrasing and urgency
I can't do this anymore highkey today,98,Explicit suicidal intent - requires attention based on phrasing and urgency
I feel empty fr today,86,Passive ideation - requires attention based on phrasing and urgency
I feel empty fr right now,89,Explicit suicidal intent - requires attention based on phrasing and urgency
I don't wanna be here tbh today,65,Emotional distress - requires attention based on phrasing and urgency
I took too much ngl soon,81,Passive ideation - requires attention based on phrasing and urgency
they keep hurting me literally today,80,Emotional distress - requires attention based on phrasing and urgency
they keep hurting me lowkey tonight,81,Substance crisis - requires attention based on phrasing and urgency
life ain't worth it highkey today,74,Substance crisis - requires attention based on phrasing and urgency
I'm done with everything highkey today,93,Imminent self-harm - requires attention based on phrasing and urgency
they keep hurting me lowkey right now,94,Explicit suicidal intent - requires attention based on phrasing and urgency
I'm done with everything fr right now,92,Explicit suicidal intent - requires attention based on phrasing and urgency
I don't wanna be here literally right now,100,Imminent self-harm - requires attention based on phrasing and urgency
I'm done with everything lowkey today,68,Substance crisis - requires attention based on phrasing and urgency
nothing matters anymore ngl asap,100,Explicit suicidal intent - requires attention based on phrasing and urgency
I'm gonna hurt someone idk today,76,Emotional distress - requires attention based on phrasing and urgency
I took too much highkey tonight,91,Explicit suicidal intent - requires attention based on phrasing and urgency
I feel empty lowkey right now,65,Substance crisis - requires attention based on phrasing and urgency
life ain't worth it highkey asap,71,Substance crisis - requires attention based on phrasing and urgency
I don't wanna be here lowkey soon,76,Emotional distress - requires attention based on phrasing and urgency
life ain't worth it tbh soon,91,Explicit suicidal intent - requires attention based on phrasing and urgency
life ain't worth it literally tonight,91,Explicit suicidal intent - requires attention based on phrasing and urgency
nothing matters anymore lowkey today,77,Domestic risk - requires attention based on phrasing and urgency
I can't do this anymore seriously asap,57,Emotional distress - requires attention based on phrasing and urgency
life ain't worth it idk today,67,Emotional distress - requires attention based on phrasing and urgency
I can't do this anymore tbh today,99,Explicit suicidal intent - requires attention based on phrasing and urgency
I'm gonna hurt someone idk soon,68,Substance crisis - requires attention based on phrasing and urgency
I'm gonna hurt someone fr tonight,68,Substance crisis - requires attention based on phrasing and urgency
they keep hurting me seriously asap,92,Threat to others - requires attention based on phrasing and urgency
I wanna end it ngl today,95,Threat to others - requires attention based on phrasing and urgency
I'm done with everything ngl right now,89,Passive ideation - requires attention based on phrasing and urgency
I took too much seriously today,93,Imminent self-harm - requires attention based on phrasing and urgency
I'm gonna hurt someone ngl asap,96,Imminent self-harm - requires attention based on phrasing and urgency
they keep hurting me seriously tonight,90,Imminent self-harm - requires attention based on phrasing and urgency
they keep hurting me fr asap,98,Imminent self-harm - requires attention based on phrasing and urgency
nothing matters anymore tbh tonight,61,Substance crisis - requires attention based on phrasing and urgency
I'm done with everything highkey tonight,81,Threat to others - requires attention based on phrasing and urgency
life ain't worth it literally soon,77,Substance crisis - requires attention based on phrasing and urgency
I wanna end it ngl soon,74,Emotional distress - requires attention based on phrasing and urgency
I don't wanna be here highkey today,74,Emotional distress - requires attention based on phrasing and urgency
I took too much highkey asap,97,Threat to others - requires attention based on phrasing and urgency
I took too much tbh asap,92,Threat to others - requires attention based on phrasing and urgency
life ain't worth it seriously soon,99,Imminent self-harm - requires attention based on phrasing and urgency
I'm gonna hurt someone seriously soon,76,Passive ideation - requires attention based on phrasing and urgency
I wanna end it tbh right now,65,Substance crisis - requires attention based on phrasing and urgency
I took too much tbh right now,91,Imminent self-harm - requires attention based on phrasing and urgency
life ain't worth it idk soon,80,Emotional distress - requires attention based on phrasing and urgency
I'm done with everything seriously tonight,79,Domestic risk - requires attention based on phrasing and urgency
I took too much idk right now,100,Threat to others - requires attention based on phrasing and urgency
they keep hurting me idk tonight,84,Threat to others - requires attention based on phrasing and urgency
they keep hurting me lowkey right now,71,Passive ideation - requires attention based on phrasing and urgency
I don't wanna be here highkey today,90,Imminent self-harm - requires attention based on phrasing and urgency
they keep hurting me ngl asap,83,Domestic risk - requires attention based on phrasing and urgency
I feel empty lowkey today,92,Imminent self-harm - requires attention based on phrasing and urgency
I feel empty lowkey today,79,Substance crisis - requires attention based on phrasing and urgency
I feel empty ngl today,57,Emotional distress - requires attention based on phrasing and urgency
I wanna end it idk tonight,61,Emotional distress - requires attention based on phrasing and urgency
I'm gonna hurt someone fr tonight,90,Domestic risk - requires attention based on phrasing and urgency
life ain't worth it fr asap,79,Domestic risk - requires attention based on phrasing and urgency
I'm done with everything fr tonight,93,Threat to others - requires attention based on phrasing and urgency
they keep hurting me tbh asap,87,Threat to others - requires attention based on phrasing and urgency
I'm gonna hurt someone seriously soon,50,Emotional distress - requires attention based on phrasing and urgency
nothing matters anymore ngl soon,93,Threat to others - requires attention based on phrasing and urgency
I can't do this anymore highkey tonight,99,Imminent self-harm - requires attention based on phrasing and urgency
I can't do this anymore lowkey asap,87,Passive ideation - requires attention based on phrasing and urgency
I'm done with everything literally asap,84,Passive ideation - requires attention based on phrasing and urgency
I'm done with everything idk tonight,75,Passive ideation - requires attention based on phrasing and urgency
life ain't worth it highkey asap,94,Imminent self-harm - requires attention based on phrasing and urgency
I feel empty lowkey today,85,Explicit suicidal intent - requires attention based on phrasing and urgency
I'm gonna hurt someone literally right now,67,Passive ideation - requires attention based on phrasing and urgency
I'm gonna hurt someone ngl right now,96,Imminent self-harm - requires attention based on phrasing and urgency
nothing matters anymore fr soon,91,Explicit suicidal intent - requires attention based on phrasing and urgency
I can't do this anymore fr today,74,Emotional distress - requires attention based on phrasing and urgency
they keep hurting me fr soon,91,Imminent self-harm - requires attention based on phrasing and urgency
I took too much literally tonight,87,Passive ideation - requires attention based on phrasing and urgency
I took too much highkey tonight,50,Emotional distress - requires attention based on phrasing and urgency
I took too much ngl asap,95,Explicit suicidal intent - requires attention based on phrasing and urgency
I'm gonna hurt someone ngl right now,79,Passive ideation - requires attention based on phrasing and urgency
I feel empty tbh today,88,Threat to others - requires attention based on phrasing and urgency
I can't do this anymore highkey today,78,Passive ideation - requires attention based on phrasing and urgency
I feel empty ngl tonight,98,Imminent self-harm - requires attention based on phrasing and urgency
I don't wanna be here fr asap,78,Passive ideation - requires attention based on phrasing and urgency
I'm done with everything literally soon,93,Imminent self-harm - requires attention based on phrasing and urgency
they keep hurting me seriously tonight,95,Domestic risk - requires attention based on phrasing and urgency
I wanna end it idk right now,83,Domestic risk - requires attention based on phrasing and urgency
nothing matters anymore idk right now,71,Passive ideation - requires attention based on phrasing and urgency
I wanna end it highkey right now,67,Substance crisis - requires attention based on phrasing and urgency
nothing matters anymore highkey asap,95,Domestic risk - requires attention based on phrasing and urgency
they keep hurting me lowkey tonight,75,Passive ideation - requires attention based on phrasing and urgency
I wanna end it highkey today,78,Emotional distress - requires attention based on phrasing and urgency
I wanna end it seriously soon,97,Imminent self-harm - requires attention based on phrasing and urgency
I'm gonna hurt someone ngl today,90,Threat to others - requires attention based on phrasing and urgency
I don't wanna be here tbh asap,82,Threat to others - requires attention based on phrasing and urgency
I wanna end it fr tonight,81,Passive ideation - requires attention based on phrasing and urgency
life ain't worth it seriously soon,87,Threat to others - requires attention based on phrasing and urgency
I don't wanna be here fr today,87,Threat to others - requires attention based on phrasing and urgency
I'm gonna hurt someone idk tonight,52,Emotional distress - requires attention based on phrasing and urgency
I can't do this anymore highkey asap,92,Imminent self-harm - requires attention based on phrasing and urgency
I'm done with everything tbh tonight,80,Domestic risk - requires attention based on phrasing and urgency
nothing matters anymore idk tonight,87,Threat to others - requires attention based on phrasing and urgency
nothing matters anymore literally right now,82,Threat to others - requires attention based on phrasing and urgency
I can't do this anymore fr asap,68,Passive ideation - requires attention based on phrasing and urgency
they keep hurting me lowkey soon,80,Domestic risk - requires attention based on phrasing and urgency
I'm done with everything idk soon,79,Substance crisis - requires attention based on phrasing and urgency
I can't do this anymore idk tonight,100,Explicit suicidal intent - requires attention based on phrasing and urgency
I feel empty highkey asap,97,Imminent self-harm - requires attention based on phrasing and urgency
life ain't worth it fr asap,68,Substance crisis - requires attention based on phrasing and urgency
I wanna end it seriously soon,75,Substance crisis - requires attention based on phrasing and urgency
I'm done with everything lowkey right now,81,Passive ideation - requires attention based on phrasing and urgency
life ain't worth it idk asap,72,Substance crisis - requires attention based on phrasing and urgency
I wanna end it fr asap,89,Domestic risk - requires attention based on phrasing and urgency
I'm done with everything literally asap,84,Passive ideation - requires attention based on phrasing and urgency
nothing matters anymore fr right now,55,Emotional distress - requires attention based on phrasing and urgency
I'm done with everything fr asap,68,Emotional distress - requires attention based on phrasing and urgency
I don't wanna be here seriously asap,78,Substance crisis - requires attention based on phrasing and urgency
I wanna end it highkey tonight,92,Threat to others - requires attention based on phrasing and urgency
I feel empty literally soon,92,Threat to others - requires attention based on phrasing and urgency
I don't wanna be here ngl right now,53,Emotional distress - requires attention based on phrasing and urgency
I can't do this anymore tbh today,100,Threat to others - requires attention based on phrasing and urgency
life ain't worth it highkey soon,93,Explicit suicidal intent - requires attention based on phrasing and urgency
nothing matters anymore seriously right now,66,Emotional distress - requires attention based on phrasing and urgency
I'm done with everything fr right now,91,Explicit suicidal intent - requires attention based on phrasing and urgency
I'm done with everything tbh soon,85,Explicit suicidal intent - requires attention based on phrasing and urgency
I can't do this anymore ngl asap,72,Substance crisis - requires attention based on phrasing and urgency
they keep hurting me idk right now,85,Passive ideation - requires attention based on phrasing and urgency
I can't do this anymore fr right now,78,Emotional distress - requires attention based on phrasing and urgency
I'm gonna hurt someone highkey today,99,Imminent self-harm - requires attention based on phrasing and urgency
I can't do this anymore seriously asap,70,Substance crisis - requires attention based on phrasing and urgency
I'm gonna hurt someone ngl soon,93,Imminent self-harm - requires attention based on phrasing and urgency
life ain't worth it seriously soon,70,Passive ideation - requires attention based on phrasing and urgency
I wanna end it ngl right now,65,Substance crisis - requires attention based on phrasing and urgency
I feel empty idk asap,92,Imminent self-harm - requires attention based on phrasing and urgency
I feel empty lowkey soon,82,Threat to others - requires attention based on phrasing and urgency
I feel empty fr today,90,Domestic risk - requires attention based on phrasing and urgency
I can't do this anymore ngl today,70,Substance crisis - requires attention based on phrasing and urgency
they keep hurting me ngl right now,99,Imminent self-harm - requires attention based on phrasing and urgency
I feel empty highkey soon,67,Passive ideation - requires attention based on phrasing and urgency
I don't wanna be here highkey today,96,Threat to others - requires attention based on phrasing and urgency
nothing matters anymore fr right now,90,Imminent self-harm - requires attention based on phrasing and urgency
I feel empty idk tonight,86,Passive ideation - requires attention based on phrasing and urgency
I took too much seriously today,82,Passive ideation - requires attention based on phrasing and urgency
they keep hurting me seriously today,92,Imminent self-harm - requires attention based on phrasing and urgency
I'm gonna hurt someone seriously soon,87,Explicit suicidal intent - requires attention based on phrasing and urgency
I took too much highkey soon,85,Substance crisis - requires attention based on phrasing and urgency
I can't do this anymore fr right now,97,Explicit suicidal intent - requires attention based on phrasing and urgency
life ain't worth it lowkey asap,94,Explicit suicidal intent - requires attention based on phrasing and urgency
I don't wanna be here highkey right now,56,Emotional distress - requires attention based on phrasing and urgency
I can't do this anymore idk soon,91,Domestic risk - requires attention based on phrasing and urgency
I feel empty seriously today,89,Domestic risk - requires attention based on phrasing and urgency
I'm done with everything fr tonight,78,Substance crisis - requires attention based on phrasing and urgency
I'm gonna hurt someone seriously asap,73,Emotional distress - requires attention based on phrasing and urgency
I'm done with everything seriously asap,77,Substance crisis - requires attention based on phrasing and urgency
I'm done with everything seriously tonight,72,Domestic risk - requires attention based on phrasing and urgency
life ain't worth it seriously today,93,Threat to others - requires attention based on phrasing and urgency
I don't wanna be here fr right now,90,Passive ideation - requires attention based on phrasing and urgency
I wanna end it idk today,74,Passive ideation - requires attention based on phrasing and urgency
I took too much lowkey asap,75,Passive ideation - requires attention based on phrasing and urgency
life ain't worth it seriously asap,60,Substance crisis - requires attention based on phrasing and urgency
I don't wanna be here fr tonight,80,Emotional distress - requires attention based on phrasing and urgency
nothing matters anymore tbh asap,93,Explicit suicidal intent - requires attention based on phrasing and urgency
they keep hurting me fr soon,80,Emotional distress - requires attention based on phrasing and urgency
I took too much ngl today,91,Domestic risk - requires attention based on phrasing and urgency
life ain't worth it fr asap,84,Domestic risk - requires attention based on phrasing and urgency
I can't do this anymore ngl today,63,Emotional distress - requires attention based on phrasing and urgency
nothing matters anymore lowkey soon,77,Substance crisis - requires attention based on phrasing and urgency
I feel empty fr asap,75,Substance crisis - requires attention based on phrasing and urgency
I don't wanna be here highkey today,95,Imminent self-harm - requires attention based on phrasing and urgency
they keep hurting me lowkey tonight,97,Imminent self-harm - requires attention based on phrasing and urgency
I'm gonna hurt someone literally soon,90,Imminent self-harm - requires attention based on phrasing and urgency
I can't do this anymore tbh right now,100,Imminent self-harm - requires attention based on phrasing and urgency
nothing matters anymore lowkey right now,91,Explicit suicidal intent - requires attention based on phrasing and urgency
I don't wanna be here literally soon,89,Explicit suicidal intent - requires attention based on phrasing and urgency
I can't do this anymore highkey asap,73,Domestic risk - requires attention based on phrasing and urgency
I took too much tbh asap,73,Passive ideation - requires attention based on phrasing and urgency
I'm done with everything tbh asap,93,Imminent self-harm - requires attention based on phrasing and urgency
I took too much ngl right now,82,Threat to others - requires attention based on phrasing and urgency
I can't do this anymore highkey today,86,Explicit suicidal intent - requires attention based on phrasing and urgency
I don't wanna be here ngl soon,91,Imminent self-harm - requires attention based on phrasing and urgency
I took too much ngl asap,85,Passive ideation - requires attention based on phrasing and urgency
life ain't worth it tbh right now,77,Substance crisis - requires attention based on phrasing and urgency
nothing matters anymore fr right now,82,Domestic risk - requires attention based on phrasing and urgency
I'm done with everything ngl tonight,90,Threat to others - requires attention based on phrasing and urgency
I can't do this anymore seriously asap,85,Explicit suicidal intent - requires attention based on phrasing and urgency
I wanna end it ngl asap,92,Domestic risk - requires attention based on phrasing and urgency
they keep hurting me tbh asap,97,Threat to others - requires attention based on phrasing and urgency
I can't do this anymore lowkey right now,71,Domestic risk - requires attention based on phrasing and urgency
I feel empty idk today,94,Imminent self-harm - requires attention based on phrasing and urgency
I wanna end it tbh today,71,Passive ideation - requires attention based on phrasing and urgency
they keep hurting me literally right now,93,Domestic risk - requires attention based on phrasing and urgency
they keep hurting me tbh soon,77,Passive ideation - requires attention based on phrasing and urgency
life ain't worth it literally today,92,Imminent self-harm - requires attention based on phrasing and urgency
life ain't worth it lowkey tonight,71,Substance crisis - requires attention based on phrasing and urgency
they keep hurting me lowkey today,54,Emotional distress - requires attention based on phrasing and urgency
I can't do this anymore lowkey asap,95,Explicit suicidal intent - requires attention based on phrasing and urgency
nothing matters anymore tbh today,90,Imminent self-harm - requires attention based on phrasing and urgency
I don't wanna be here fr asap,100,Threat to others - requires attention based on phrasing and urgency
nothing matters anymore seriously tonight,97,Threat to others - requires attention based on phrasing and urgency
I feel empty idk today,70,Emotional distress - requires attention based on phrasing and urgency
I wanna end it tbh asap,86,Explicit suicidal intent - requires attention based on phrasing and urgency
life ain't worth it highkey tonight,92,Imminent self-harm - requires attention based on phrasing and urgency
life ain't worth it tbh asap,73,Passive ideation - requires attention based on phrasing and urgency
I wanna end it ngl right now,87,Explicit suicidal intent - requires attention based on phrasing and urgency
I don't wanna be here lowkey right now,78,Passive ideation - requires attention based on phrasing and urgency
I can't do this anymore highkey tonight,69,Emotional distress - requires attention based on phrasing and urgency
they keep hurting me literally tonight,80,Threat to others - requires attention based on phrasing and urgency
nothing matters anymore highkey soon,90,Explicit suicidal intent - requires attention based on phrasing and urgency
they keep hurting me ngl right now,72,Substance crisis - requires attention based on phrasing and urgency
nothing matters anymore ngl soon,72,Emotional distress - requires attention based on phrasing and urgency
they keep hurting me tbh today,77,Substance crisis - requires attention based on phrasing and urgency
I'm gonna hurt someone fr tonight,89,Passive ideation - requires attention based on phrasing and urgency
life ain't worth it highkey tonight,79,Domestic risk - requires attention based on phrasing and urgency
I'm done with everything seriously tonight,74,Passive ideation - requires attention based on phrasing and urgency
they keep hurting me tbh asap,90,Passive ideation - requires attention based on phrasing and urgency
I can't do this anymore seriously right now,87,Explicit suicidal intent - requires attention based on phrasing and urgency
I wanna end it literally tonight,89,Passive ideation - requires attention based on phrasing and urgency
I'm gonna hurt someone ngl today,72,Passive ideation - requires attention based on phrasing and urgency
I can't do this anymore lowkey right now,88,Explicit suicidal intent - requires attention based on phrasing and urgency
I don't wanna be here ngl soon,79,Passive ideation - requires attention based on phrasing and urgency
I'm done with everything tbh right now,99,Imminent self-harm - requires attention based on phrasing and urgency
I don't wanna be here highkey today,73,Substance crisis - requires attention based on phrasing and urgency
I'm done with everything seriously right now,73,Emotional distress - requires attention based on phrasing and urgency
life ain't worth it seriously tonight,69,Substance crisis - requires attention based on phrasing and urgency
they keep hurting me highkey soon,86,Threat to others - requires attention based on phrasing and urgency
life ain't worth it literally soon,52,Emotional distress - requires attention based on phrasing and urgency
I took too much literally today,72,Emotional distress - requires attention based on phrasing and urgency
I took too much idk right now,99,Threat to others - requires attention based on phrasing and urgency
life ain't worth it idk asap,88,Domestic risk - requires attention based on phrasing and urgency
nothing matters anymore literally soon,85,Passive ideation - requires attention based on phrasing and urgency
I'm gonna hurt someone idk today,89,Explicit suicidal intent - requires attention based on phrasing and urgency
I took too much highkey asap,92,Imminent self-harm - requires attention based on phrasing and urgency
I can't do this anymore literally tonight,59,Emotional distress - requires attention based on phrasing and urgency
they keep hurting me idk today,73,Substance crisis - requires attention based on phrasing and urgency
I don't wanna be here ngl today,53,Emotional distress - requires attention based on phrasing and urgency
I wanna end it highkey today,87,Passive ideation - requires attention based on phrasing and urgency
I took too much seriously right now,93,Threat to others - requires attention based on phrasing and urgency
I feel empty fr asap,94,Imminent self-harm - requires attention based on phrasing and urgency
I feel empty lowkey soon,81,Substance crisis - requires attention based on phrasing and urgency
I feel empty tbh right now,95,Imminent self-harm - requires attention based on phrasing and urgency
I don't wanna be here highkey tonight,53,Emotional distress - requires attention based on phrasing and urgency
I can't do this anymore fr asap,91,Imminent self-harm - requires attention based on phrasing and urgency
I feel empty highkey asap,95,Domestic risk - requires attention based on phrasing and urgency
I'm gonna hurt someone highkey soon,61,Substance crisis - requires attention based on phrasing and urgency
I'm done with everything highkey today,89,Domestic risk - requires attention based on phrasing and urgency
